순위,제어번호,인용횟수,대표제목,대표저자,대표출판연도,저자_분류
1,nlk:KAC199630758,2259,The Collected Poems of W. B. Yeats,"Yeats, William Butler",1961.0,foreign_english
2,nlk:KAC199608019,1852,The Complete Poems and Plays of T. S. Eliot,"Eliot, Thomas Stearns",1969.0,foreign_english
3,nlk:KAC199616058,1633,Studies in Classic American Literature,"Lawrence, David Herbert",1977.0,foreign_english
4,nlk:KAC200602319,1614,The Minimalist Program,"Chomsky, Noam",1995.0,foreign_english
5,nlk:KAC199606860,1298,A Thousand Plateaus: Capitalism and Schizophrenia,"Deleuze, Gilles",1987.0,foreign_english
6,nlk:KAC200000024,1212,Hamlet,"Shakespeare, William",1997.0,foreign_english
7,nlk:KAC199609116,1197,Discipline and Punish: The Birth of the Prison,"Foucault, Michel",1990.0,foreign_english
8,nlk:KAC199609326,1113,Beyond the Pleasure Principle,"Freud, Sigmund",1955.0,foreign_english
9,nlk:KAC200800551,1046,The Four Fundamental Concepts of Psycho-Analysis,"Lacan, Jacques",1977.0,foreign_english
10,nlk:KAC199614250,1025,Ulysses,"Joyce, James",1986.0,foreign_english
11,nlk:KAC199630555,1021,A Room of One’s Own,"Woolf, Virginia",1992.0,foreign_english
12,nlk:KAC199606951,1004,Of Grammatology,"Derrida, Jacques",1978.0,foreign_english
13,nlk:KAC199604081,869,Gender Trouble: Feminism and the Subversion of Identity,"Butler, Judith P.",1990.0,foreign_english
14,nlk:KAC199630983,770,The Sublime Object of Ideology,"Žižek, Slavoj",1989.0,foreign_english
15,nlk:KAC200903715,726,North,"Heaney, Seamus Justin",1980.0,foreign_english
16,nlk:KAC200205179,683,Beloved,"Morrison, Toni",1992.0,foreign_english
17,nlk:KAC200400171,665,Homo Sacer: Sovereign Power and Bare Life,"Agamben, Giorgio",1998.0,foreign_english
18,nlk:KAC199602170,641,Illuminations,"Benjamin, Walter",1969.0,foreign_english
19,nlk:KAC199630569,616,"The Prelude 1799, 1805, 1850","Wordsworth, William",1979.0,foreign_english
20,nlk:KAC199602783,608,Yeats,"Bloom, Harold",1970.0,foreign_english
21,nlk:KAC199636295,559,Orientalism,"Said, Edward W.",1993.0,foreign_english
22,nlk:KAC199601442,544,Rabelais and His World,"Bakhtin, Mikhail Mikhailovich",1981.0,foreign_english
23,nlk:KAC201907254,528,The Identity of Yeats,"Ellmann, Richard",1964.0,foreign_english
24,nlk:KAC199613727,513,The Political Unconscious: Narrative as a Socially Symbolic Act,"Jameson, Fredric",1981.0,foreign_english
25,nlk:KAC199607728,445,Literary Theory: An Introduction,"Eagleton, Terry",1996.0,foreign_english
26,nlk:KAC201755493,436,Principles of Language Learning and Teaching,"Brown, H. Douglas",2007.0,foreign_english
27,nlk:KAC200302296,428,The Location of Culture,"Bhabha, Homi K.",1994.0,foreign_english
28,nlk:KAC199639230,415,The Country and the City,"Williams, Raymond",1973.0,foreign_english
29,nlk:KAC200306940,409,Marxism and the Interpretation of Culture,"Spivak, Gayatri Chakravorty",1988.0,foreign_english
30,nlk:KAC199615786,405,Metaphors We Live By,"Lakoff, George",1980.0,foreign_english
31,nlk:KAC199613702,399,The Portrait of a Lady,"James, Henry",1984.0,foreign_english
32,nlk:KAC199615498,394,Powers of Horror: An Essay on Abjection,"Kristeva, Julia",1982.0,foreign_english
33,nlk:KAC200002773,387,Disgrace,"Coetzee, J. M.",1992.0,foreign_english
34,nlk:KAC200402566,386,Faithfulness and Reduplicative Identity,"McCarthy, John J.",1995.0,foreign_english
35,nlk:KAC200306265,358,Totality and Infinity: An Essay on Exteriority,"Levinas, Emmanuel",1969.0,foreign_english
36,nlk:KAC199607080,352,Great Expectations,"Dickens, Charles",1996.0,foreign_english
37,nlk:KAC199608528,349,The Sound and the Fury,"Faulkner, William",1990.0,foreign_english
38,nlk:KAC199620237,340,Thus Spoke Zarathustra,"Nietzsche, Friedrich Wilhelm",1967.0,foreign_english
39,nlk:KAC199616182,339,D. H. Lawrence: Novelist,"Leavis, Frank Raymond",1972.0,foreign_english
40,nlk:KAC199605474,329,The study of second language acquisition,"Collins, Randall",1994.0,foreign_english
41,nlk:KAC199617910,328,The Communist Manifesto,"Marx, Karl",1976.0,foreign_english
42,nlk:KAC199618965,326,Paradise Lost,"Milton, John",1957.0,foreign_english
43,nlk:KAC200107284,320,Heart of Darkness,"Conrad, Joseph",1988,foreign_english
44,nlk:KAC199608461,313,"Black Skin, White Masks","Fanon, Frantz",1967.0,foreign_english
45,nlk:KAC199601201,312,Pride and Prejudice,"Austen, Jane",2003.0,foreign_english
46,nlk:KAC199601994,310,The Complete Dramatic Works,"Beckett, Samuel",1986.0,foreign_english
47,nlk:KAC199611832,309,The Scarlet Letter,"Hawthorne, Nathaniel",1987.0,foreign_english
48,nlk:KAC199614276,299,The Archetypes and the Collective Unconscious,"Jung, Carl Gustav",1968.0,foreign_english
49,nlk:KAC199629919,296,Leaves of Grass,"Whitman, Walt",1973.0,foreign_english
50,nlk:KAC199609447,295,Anatomy of Criticism,"Frye, Northrop",1969.0,foreign_english
51,nlk:KAC200804572,291,Teaching and researching motivation,"Dörnyei, Zoltán",2001.0,foreign_english
52,nlk:KAC199605427,285,Biographia Literaria,"Coleridge, Samuel Taylor",1983.0,foreign_english
53,nlk:KAC199608018,284,Middlemarch,"Eliot, George",1994.0,foreign_english
54,nlk:KAC199618561,283,Moby-Dick,"Melville, Herman",2002.0,foreign_english
55,nlk:KAC201423913,281,Literary Essays of Ezra Pound,"Pound, Ezra",1968.0,foreign_english
56,nlk:KAC199601746,280,Mythologies,"Barthes, Roland",1977.0,foreign_english
57,nlk:KAC199611974,273,Being and Time,"Heidegger, Martin",1971.0,foreign_english
58,nlk:KAC199610758,272,Renaissance Self-Fashioning: From More to Shakespeare,"Greenblatt, Stephen",1980.0,foreign_english
59,nlk:KAC199611475,260,When Species Meet,"Haraway, Donna J.",2016.0,foreign_english
60,nlk:KAC199622952,254,Approaches and Methods in Language Teaching,"Richards, Jack C.",2001.0,foreign_english
61,nlk:KAC199615425,253,Principles and Practice in Second Language Acquisition,"Krashen, Stephen D.",1985.0,foreign_english
62,nlk:KAC000000004,249,Social psychology and second language learning: The role of attitudes and motivation,"Gardner, R. C.",1985.0,foreign_english
63,nlk:KAC202238491,248,A New Commentary on the Poems of W. B. Yeats,"Jeffares, A. Norman",1984.0,foreign_english
64,nlk:KAC199600199,246,Aesthetic Theory,"Adorno, Theodor W.",1997.0,foreign_english
65,nlk:KAC199603566,243,Modern Poetry and the Tradition,"Brooks, Cleanth",1963.0,foreign_english
66,nlk:KAC199614392,243,Critique of Judgment,"Kant, Immanuel",1987.0,foreign_english
67,nlk:KAC199600908,236,The Human Condition,"Arendt, Hannah",2006.0,foreign_english
68,nlk:KAC201423910,233,Selected Essays of William Carlos Williams,"Williams, William Carlos",1986.0,foreign_english
69,nlk:KAC200408415,233,A Literature of Their Own: British Women Novelists from Brontë to Lessing,"Showalter, Elaine",1977.0,foreign_english
70,nlk:KAC199625033,233,Pygmalion,"Shaw, George Bernard",2000.0,foreign_english
71,nlk:KAC199605242,230,The Adventures of Huckleberry Finn,"Twain, Mark",1996.0,foreign_english
72,nlk:KAC199621859,230,Essays and Reviews,"Poe, Edgar Allan",1983.0,foreign_english
73,nlk:KAC199616434,220,The Golden Notebook,"Lessing, Doris",1988.0,foreign_english
74,nlk:KAC199612072,218,The Old Man and the Sea,"Hemingway, Ernest",1995.0,foreign_english
75,nlk:KAC201742601,216,The Politics of Postmodernism,"Hutcheon, Linda",1988.0,foreign_english
76,nlk:KAC200800968,212,The Politics of Literature,"Rancière, Jacques",2004.0,foreign_english
77,nlk:KAC201418412,208,The Way of the World: The Bildungsroman in European Culture,"Moretti, Franco",2000.0,foreign_english
78,nlk:KAC000000000,207,"Unclaimed Experience: Trauma, Narrative, and History","Caruth, Cathy",1996.0,foreign_english
79,nlk:KAC199632647,204,Poetics,Aristoteles,2004.0,foreign_english
80,nlk:KAC200206416,204,Of Woman Born: Motherhood as Experience and Institution,"Rich, Adrienne",1986.0,foreign_english
81,nlk:KAC200403354,201,The Posthuman,"Braidotti, Rosi",2013.0,foreign_english
82,nlk:KAC200509651,198,Falling Man,"DeLillo, Don",2007.0,foreign_english
83,nlk:KAC199624422,198,Vocabulary in language teaching,"Schmitt, Carl",2000.0,foreign_english
84,nlk:KAC199608118,198,Essays and Lectures,"Emerson, Ralph Waldo",1983.0,foreign_english
85,nlk:KAC199601841,195,Simulacra and Simulation,"Baudrillard, Jean",1994.0,foreign_english
86,nlk:KAC199614556,193,The Poems of John Keats,"Keats, John",1958.0,foreign_english
87,nlk:KAC000000001,193,Our Secret Discipline: Yeats and Lyric Form,"Vendler, Helen",2007.0,foreign_english
88,nlk:KAC199601158,190,Oryx and Crake,"Atwood, Margaret",2004.0,foreign_english
89,nlk:KAC199606809,190,Robinson Crusoe,"Defoe, Daniel",2007.0,foreign_english
90,nlk:KAC199617179,190,The Historical Novel,"Lukács, Georg",1971.0,foreign_english
91,nlk:KAC200001177,190,Distinction: A Social Critique of the Judgement of Taste,"Bourdieu, Pierre",1984.0,foreign_english
92,nlk:KAC200202465,187,The Lacanian Subject: Between Language and Jouissance,"Fink, Bruce",1995.0,foreign_english
93,nlk:KAC199611512,185,Jude the Obscure,"Hardy, Thomas",1978.0,foreign_english
94,nlk:KAC199626381,185,The Log from the Sea of Cortez,"Steinbeck, John",1995.0,foreign_english
95,nlk:KAC199606641,183,The Rhetoric of Romanticism,"De Man, Paul",1983.0,foreign_english
96,nlk:KAC199603555,179,"The Melodramatic Imagination: Balzac, Henry James, Melodrama, and the Mode of Excess","Brooks, Peter",1993.0,foreign_english
97,nlk:KAC200409037,178,Questions of Cultural Identity,"Hall, Stuart",1996.0,foreign_english
98,nlk:KAC199620438,178,"Hiding from Humanity: Disgust, Shame, and the Law","Nussbaum, Martha Craven",2013.0,foreign_english
99,nlk:KAC202327608,175,A Comprehensive Grammar of the English Language,"Quirk, Randolph",1985.0,foreign_english
100,nlk:KAC000000007,174,The Invisible Poet: T. S. Eliot,"Kenner, Hugh",1987.0,foreign_english
